

使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?,使用心得：很好，变色的，也不干，就是小贵，颜色喜欢,使用心得：原本要买烈焰蓝金，但是看到图二这个妹子和我要送的女孩子特别像，就买了这款。，我只想问图二的联系方式在哪里，我要看看全脸是不是真的很像,使用心得：是正品，在其他地方买了假的，盒子字体都是错的，LOGO直接是两个D，这次在京东买，回来就对比了，是正品！,使用心得：真心不错，这支。人忽略，看嘴上的颜色和滋润度,使用心得：买来送人的，都不知道挑什么颜色适合

使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：很好，很漂亮，迪奥的口红很不错，挺信赖的，是送人的礼物，老板也很贴心的送了贺卡和手提袋，很好，下次还会再来的。,使用心得：刚打开快递，口红还没用，但是盒子是坏的！坏的！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。



使用心得：上次在专柜试了这个颜色，特别喜欢，终于到手了，是正品，跟专柜一样，标签日期一应俱全，颜色大爱，看图,使用心得：l看看包装好像还行，过几天用过再评吧。,使用心得：宝贝已经收到了，还没有使用，期待效果，非常满意的一次购物.,使用心得：先买套试用装试试，好用再买正装,使用心得：刚刚开始试用，好再来,使用心得：买个小样试用一下，吸收很快，很好用,使用心得：事实上我并没有买口红,使用心得：国际大牌护肤品，和想象中的效果差距很大，不过效果确实明显，甩国产护肤品几条街,使用心得：夏天来了画个美美的妆怎么能少了迪奥口红大爱选了好久的店家感觉这家比较靠谱,使用心得：还没用，听说很好用，但是不知道什么时候用，呵呵





使用心得：无语了，一打开包装差点被气死，外包装盒子又脏又Low，里面唇油更是无法形容我都怀疑怎么弄成那样的像被挤压过的一样，我想说这牌子我用几年了从来没发生过这种情况，商家请问你家这是正品吗，这么好的牌子口碑就这么让你们给做砸了，第一次在你家买东西无语透了，再也不见,使用心得：还不错哦，淡淡地，价格实惠，好,使用心得：非常不错！物美价廉！超值！,使用心得：包装什么的，感觉还不错，女朋友说可以。,使用心得：嗯，还可以吧！！！！！！！！！！！,使用心得：，有点失望，态度不好,使用心得：包装很精美！一如既往支持京东,使用心得：很好，包装也很给力的,使用心得：挺好的恶、朋友很喜欢,使用心得：不错不错不错不错不错

使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心,使用心得：到货之后还特地到实体店去对比了一下，完全正品，而且还比实体店便宜的多，不错,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：朋友很喜欢，谢谢啦~客服态度真的是超棒的~以后有需要还会再来~,使用心得：这家的唇膏是正品，可以扫码也可以验货，唇膏不容易掉色，还有好闻的闻到。




使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！,使用心得：是正品，找人鉴定过了，不过看贴的标签。。。难道是专柜货。。。不过条码扫不到，应该没问题
使用心得：真是喜欢的不得了！味道好闻，很滋润，颜色低调，大爱！,使用心得：收到了，非常满意！颜色很漂亮，喜欢！,使用心得：在丝芙兰买会放心一点，快递也很快，只用了一天就到了。，Givenchy这款首先外壳很好看啊，但也有一点笨重的感觉。，颜色买的是11号，喜欢这样的红色，比较适合黄皮。,使用心得：颜色美哭了，又很润，很显白，太喜欢了,使用心得：很满意，味道特别喜欢，颜色也好看。,使用心得：之前在莎莎网买过9号色，活动二百出头，是想买16号色的，但是正规电商都没有这个色号；偶然在JD丝芙兰看到竟然有货，而且还搞活动499-100，于是就买了这只和同样到处断货的小粉皮，相当于各减了50。，16号用完应该会回购，小粉皮和9号都不会再回购。,使用心得：是正品，快递相对而言速度还不错。很喜欢。哈哈哈，淡淡的。中意它?,使用心得：等了好几天等到的 值得。担心快递暴力会弄断口红 结果没有 只是轻微划痕 膏体蓝莓味 很香 很漂亮 用了一下觉得很自然很漂亮 好评~,使用心得：太喜欢了，好看，颜色有点葡萄皮的感觉,使用心得：特别棒。非常喜欢？终于买到啦


使用心得：发货快，到货也快，口红颜色很正，味道也很好闻，大爱，唇膏比我想象的大，还没用，不过看着很不错哈。,使用心得：实物比图片更好看，是正品，用了一下很滋润，好看，美美哒，客服态度很好,使用心得：这个颜色买对了，刚拆开擦上看了效果，确保是专柜行货，很好看，颜色饱和不易掉色，好满意的产品,使用心得：非常好看，品牌也好，很有质感的，颜色很喜欢，不掉色，涂上很减龄，必须好评,使用心得：第一次买，有很淡香味，颜色很柔和，比国产品牌润。,使用心得：很有质感，拿到手试了下，不错，颜色很喜欢，不掉色，感觉是正品,使用心得：正品正品，经济实惠，店家很热情，还送了小礼物，很满意,使用心得：颜色很正哦！确定是正品哦，涂上很服帖很润！喜欢！快递小哥服务态度很给力！愉快的一次购物,使用心得：不错，是真品，颜色很满意，小巧方便,使用心得：口红收到了，涂上之后很舒服，保湿也很不错，喜欢

使用心得：发货就先不用说了～第一天拍第二天就到货了，早就听说过[#]的口红很好用，性 比超高～没想到真的是这样～大爱啊～我这个人也比较容易满足～刚拿到货就迫不及待拿来用了～女朋友大爱！,使用心得：包装好！物流快！真品,使用心得：口红特别润，颜色特别漂亮，超过我所期待！,使用心得：终于到了了，很喜欢,使用心得：颜色很喜欢，淡淡的香味，涂上很好看，下次还会购买,使用心得：买的时候说有礼物，收到货一看除了口红啥都没有，客户也没人回复，而且袋子上包装盒上什么logo都没有，这情况真不知道是真货还是假货了！,使用心得：挺好的是正品跟我朋友从专卖店买的一样。才想起来评论。打算再买一只超爱这个颜色,使用心得：第二次买奥迪唇膏，超好，保湿效果很好！颜色好看,使用心得：颜色超赞，美美的，速度快，喜欢京东的服务。,使用心得：给女朋友买的，她很喜欢
使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心,使用心得：到货之后还特地到实体店去对比了一下，完全正品，而且还比实体店便宜的多，不错,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：朋友很喜欢，谢谢啦~客服态度真的是超棒的~以后有需要还会再来~,使用心得：这家的唇膏是正品，可以扫码也可以验货，唇膏不容易掉色，还有好闻的闻到。

使用心得：超级好 拿起来很有质感 不愧是大牌 不敢在别的店买 京东自营还是可以相信的,使用心得：很好用，嘴很滋润，颜色很喜欢，显嫩，,使用心得：反正用的那个大美女说不错，还让点赞快递小哥很敬职敬责。,使用心得：颜色很棒 没什么味道 不会太妖艳 其他牌子口红垃圾桶去了,使用心得：包装精美，婆婆很喜欢呢,使用心得：颜色很漂亮，非常适合，价格也不贵，很满意！！！,使用心得：包装不豪华，只有一个拇指大的盒子装,使用心得：给别人买的，赶上活动，超级划算,使用心得：很快就收到，直营真的速度很快！,使用心得：比较快，不错的，牌子就是牌子

使用心得：看了好久还是下手了，人生中第一支唇膏，粉粉的颜色看着就好喜欢，擦上去很自然，本人唇色很淡，所以擦的时候也只是轻轻擦一层，有点小沾杯,使用心得：第一次买，不知效果怎样？真假不懂。,使用心得：唇膏不错哦，女朋友很喜欢，涂上去很自然,使用心得：女朋友端午要来“探监”，打算给她个惊喜。东西和描述的一样，下次我还买！,使用心得：物流快，包装好！喜欢,使用心得：快递必须满分！包装完好，东西不做评价，因为不懂。。。,使用心得：包装压变形了，内包装没问题，但是这是送人的，送过去的感觉就不好了。,使用心得：滋润，颜色也很好、和想象的一样，下次会选其他色号试一下！,使用心得：2.14送老婆的礼物，老婆很喜欢。，这个涂了是根据温度变色的，刚开始感觉没颜色，千万别涂厚了，过一会颜色就出来了，挺漂亮的！,使用心得：品质很好，很好看的，情人节礼物???


使用心得：咱家的美女都喜欢迪奥品牌，就是价格比其他店要贵一点，只要货的正品就无所谓了。图片里的迪奥包装来自专卖店，希望你的包装换成一样的。,使用心得：很不错，很好，很好用，女朋友很喜欢，应该是正品，看着还不错。,使用心得：已经用了，感觉比较正，很滋润，颜色好看,使用心得：东西不错 就是不知道是不是正品,使用心得：收到货打开一看，口红上边有一层小水珠，当时就沉默了，询问客服说是俗称的出汗现象，有时间去专柜问问。给我媳妇买的生日礼物，抹上一次，颜色挺正的，香气也好闻，女人应该有一个大红色的口红。,使用心得：好好好好好，耐久,使用心得：确实很不错，很好哒很好哒！！,使用心得：送给老婆的，还没有用，看上去不错！,使用心得：第一次在京东上给评论，超棒，喜欢,使用心得：给我家小仙女买的，她很开心

使用心得：和之前在正品店买的看起来很像，感觉不错，相信京东商城的东西，颜色和包装都是一样的，但不知道效果是否一样，用后会追加评价的…,使用心得：应该不是正品没什么味道，二百多的东西也太少了就一点点,使用心得：之前没仔细看，买了丝绒的，自己的嘴唇很干所以这只口红只能送人了,使用心得：颜色很正，是正品，瞬间提升女人味，哈哈！,使用心得：对比下，没有色差，我个人涂较少。总体还不错，,使用心得：不错颜色挺正，而且还挺香的，赞哦,使用心得：涂出来一丝一丝的。总感觉抹不匀。涂上还有刺痛的感觉。还没有我卖的好用。260多感觉白用了。,使用心得：物流速度很快，用着很好！,使用心得：超喜欢这个颜色，颜色粉嫩的，很喜欢，相信京东，相信香奈儿。,使用心得：这也是网红款，我觉得粉得非常正，稍微有点偏紫，没有43号显白，还是要化妆涂它，但是由于我少女心的原因，很喜欢粉色，所以也非常爱它，比43卡唇纹稍微好一些，滋润度也不错



使用心得：快递还可以，比较快，因为京东嘛，为啥那么小一支唇膏用那么大的盒子，好浪费，一点也不环保，上色度不错，不像网上说的那么不太上色什么的，香味好浓，加了好多香精的样子，一点都不像大牌的风格，反而许多小众品牌香味清新自然，不过兰蔻就这种香味没办法，只能说她家的调香师重口味，因为做了功课所以按压了再旋出来，没有损坏，很好，上嘴不像专柜那么丝滑，可能新口红有一层蜡的缘故，当然专柜的试用品已经被千万人的嘴上过，不顺滑才怪，这话我怎么感觉怪怪的，颜色很显娇俏,使用心得：好喜欢，到处都断货，终于买到了,使用心得：第一次用兰蔻的唇膏，简直好用的不要不要的，很水润，颜色也美，准备再入手一支，活动时呐买的，超级划算,使用心得：唇膏变这样了，伤心！真是醉了,使用心得：买了兰蔻的口红，很滋润，味道也很好闻，送了眼精华和肌底液，比专柜买的划算多了,使用心得：超喜欢，味道很香，颜色超美,使用心得：很不错，送朋友，朋友用了说很好,使用心得：超赞，这个颜色很喜欢，黄皮，显白,使用心得：颜色好看，涂抹起来像奶油质感，遮盖力够，就是壳子挺轻的，质感有点欠缺,使用心得：还没用，不过感觉很不错，打开是我喜欢的颜色！


使用心得：无语了，一打开包装差点被气死，外包装盒子又脏又Low，里面唇油更是无法形容我都怀疑怎么弄成那样的像被挤压过的一样，我想说这牌子我用几年了从来没发生过这种情况，商家请问你家这是正品吗，这么好的牌子口碑就这么让你们给做砸了，第一次在你家买东西无语透了，再也不见,使用心得：还不错哦，淡淡地，价格实惠，好,使用心得：非常不错！物美价廉！超值！,使用心得：包装什么的，感觉还不错，女朋友说可以。,使用心得：嗯，还可以吧！！！！！！！！！！！,使用心得：，有点失望，态度不好,使用心得：包装很精美！一如既往支持京东,使用心得：很好，包装也很给力的,使用心得：挺好的恶、朋友很喜欢,使用心得：不错不错不错不错不错

使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心,使用心得：到货之后还特地到实体店去对比了一下，完全正品，而且还比实体店便宜的多，不错,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：朋友很喜欢，谢谢啦~客服态度真的是超棒的~以后有需要还会再来~,使用心得：这家的唇膏是正品，可以扫码也可以验货，唇膏不容易掉色，还有好闻的闻到。




使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！,使用心得：是正品，找人鉴定过了，不过看贴的标签。。。难道是专柜货。。。不过条码扫不到，应该没问题
使用心得：真是喜欢的不得了！味道好闻，很滋润，颜色低调，大爱！,使用心得：收到了，非常满意！颜色很漂亮，喜欢！,使用心得：在丝芙兰买会放心一点，快递也很快，只用了一天就到了。，Givenchy这款首先外壳很好看啊，但也有一点笨重的感觉。，颜色买的是11号，喜欢这样的红色，比较适合黄皮。,使用心得：颜色美哭了，又很润，很显白，太喜欢了,使用心得：很满意，味道特别喜欢，颜色也好看。,使用心得：之前在莎莎网买过9号色，活动二百出头，是想买16号色的，但是正规电商都没有这个色号；偶然在JD丝芙兰看到竟然有货，而且还搞活动499-100，于是就买了这只和同样到处断货的小粉皮，相当于各减了50。，16号用完应该会回购，小粉皮和9号都不会再回购。,使用心得：是正品，快递相对而言速度还不错。很喜欢。哈哈哈，淡淡的。中意它?,使用心得：等了好几天等到的 值得。担心快递暴力会弄断口红 结果没有 只是轻微划痕 膏体蓝莓味 很香 很漂亮 用了一下觉得很自然很漂亮 好评~,使用心得：太喜欢了，好看，颜色有点葡萄皮的感觉,使用心得：特别棒。非常喜欢？终于买到啦


使用心得：发货快，到货也快，口红颜色很正，味道也很好闻，大爱，唇膏比我想象的大，还没用，不过看着很不错哈。,使用心得：实物比图片更好看，是正品，用了一下很滋润，好看，美美哒，客服态度很好,使用心得：这个颜色买对了，刚拆开擦上看了效果，确保是专柜行货，很好看，颜色饱和不易掉色，好满意的产品,使用心得：非常好看，品牌也好，很有质感的，颜色很喜欢，不掉色，涂上很减龄，必须好评,使用心得：第一次买，有很淡香味，颜色很柔和，比国产品牌润。,使用心得：很有质感，拿到手试了下，不错，颜色很喜欢，不掉色，感觉是正品,使用心得：正品正品，经济实惠，店家很热情，还送了小礼物，很满意,使用心得：颜色很正哦！确定是正品哦，涂上很服帖很润！喜欢！快递小哥服务态度很给力！愉快的一次购物,使用心得：不错，是真品，颜色很满意，小巧方便,使用心得：口红收到了，涂上之后很舒服，保湿也很不错，喜欢

使用心得：发货就先不用说了～第一天拍第二天就到货了，早就听说过[#]的口红很好用，性 比超高～没想到真的是这样～大爱啊～我这个人也比较容易满足～刚拿到货就迫不及待拿来用了～女朋友大爱！,使用心得：包装好！物流快！真品,使用心得：口红特别润，颜色特别漂亮，超过我所期待！,使用心得：终于到了了，很喜欢,使用心得：颜色很喜欢，淡淡的香味，涂上很好看，下次还会购买,使用心得：买的时候说有礼物，收到货一看除了口红啥都没有，客户也没人回复，而且袋子上包装盒上什么logo都没有，这情况真不知道是真货还是假货了！,使用心得：挺好的是正品跟我朋友从专卖店买的一样。才想起来评论。打算再买一只超爱这个颜色,使用心得：第二次买奥迪唇膏，超好，保湿效果很好！颜色好看,使用心得：颜色超赞，美美的，速度快，喜欢京东的服务。,使用心得：给女朋友买的，她很喜欢
使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心,使用心得：到货之后还特地到实体店去对比了一下，完全正品，而且还比实体店便宜的多，不错,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：朋友很喜欢，谢谢啦~客服态度真的是超棒的~以后有需要还会再来~,使用心得：这家的唇膏是正品，可以扫码也可以验货，唇膏不容易掉色，还有好闻的闻到。

使用心得：超级好 拿起来很有质感 不愧是大牌 不敢在别的店买 京东自营还是可以相信的,使用心得：很好用，嘴很滋润，颜色很喜欢，显嫩，,使用心得：反正用的那个大美女说不错，还让点赞快递小哥很敬职敬责。,使用心得：颜色很棒 没什么味道 不会太妖艳 其他牌子口红垃圾桶去了,使用心得：包装精美，婆婆很喜欢呢,使用心得：颜色很漂亮，非常适合，价格也不贵，很满意！！！,使用心得：包装不豪华，只有一个拇指大的盒子装,使用心得：给别人买的，赶上活动，超级划算,使用心得：很快就收到，直营真的速度很快！,使用心得：比较快，不错的，牌子就是牌子

使用心得：看了好久还是下手了，人生中第一支唇膏，粉粉的颜色看着就好喜欢，擦上去很自然，本人唇色很淡，所以擦的时候也只是轻轻擦一层，有点小沾杯,使用心得：第一次买，不知效果怎样？真假不懂。,使用心得：唇膏不错哦，女朋友很喜欢，涂上去很自然,使用心得：女朋友端午要来“探监”，打算给她个惊喜。东西和描述的一样，下次我还买！,使用心得：物流快，包装好！喜欢,使用心得：快递必须满分！包装完好，东西不做评价，因为不懂。。。,使用心得：包装压变形了，内包装没问题，但是这是送人的，送过去的感觉就不好了。,使用心得：滋润，颜色也很好、和想象的一样，下次会选其他色号试一下！,使用心得：2.14送老婆的礼物，老婆很喜欢。，这个涂了是根据温度变色的，刚开始感觉没颜色，千万别涂厚了，过一会颜色就出来了，挺漂亮的！,使用心得：品质很好，很好看的，情人节礼物???


使用心得：咱家的美女都喜欢迪奥品牌，就是价格比其他店要贵一点，只要货的正品就无所谓了。图片里的迪奥包装来自专卖店，希望你的包装换成一样的。,使用心得：很不错，很好，很好用，女朋友很喜欢，应该是正品，看着还不错。,使用心得：已经用了，感觉比较正，很滋润，颜色好看,使用心得：东西不错 就是不知道是不是正品,使用心得：收到货打开一看，口红上边有一层小水珠，当时就沉默了，询问客服说是俗称的出汗现象，有时间去专柜问问。给我媳妇买的生日礼物，抹上一次，颜色挺正的，香气也好闻，女人应该有一个大红色的口红。,使用心得：好好好好好，耐久,使用心得：确实很不错，很好哒很好哒！！,使用心得：送给老婆的，还没有用，看上去不错！,使用心得：第一次在京东上给评论，超棒，喜欢,使用心得：给我家小仙女买的，她很开心

使用心得：和之前在正品店买的看起来很像，感觉不错，相信京东商城的东西，颜色和包装都是一样的，但不知道效果是否一样，用后会追加评价的…,使用心得：应该不是正品没什么味道，二百多的东西也太少了就一点点,使用心得：之前没仔细看，买了丝绒的，自己的嘴唇很干所以这只口红只能送人了,使用心得：颜色很正，是正品，瞬间提升女人味，哈哈！,使用心得：对比下，没有色差，我个人涂较少。总体还不错，,使用心得：不错颜色挺正，而且还挺香的，赞哦,使用心得：涂出来一丝一丝的。总感觉抹不匀。涂上还有刺痛的感觉。还没有我卖的好用。260多感觉白用了。,使用心得：物流速度很快，用着很好！,使用心得：超喜欢这个颜色，颜色粉嫩的，很喜欢，相信京东，相信香奈儿。,使用心得：这也是网红款，我觉得粉得非常正，稍微有点偏紫，没有43号显白，还是要化妆涂它，但是由于我少女心的原因，很喜欢粉色，所以也非常爱它，比43卡唇纹稍微好一些，滋润度也不错



使用心得：快递还可以，比较快，因为京东嘛，为啥那么小一支唇膏用那么大的盒子，好浪费，一点也不环保，上色度不错，不像网上说的那么不太上色什么的，香味好浓，加了好多香精的样子，一点都不像大牌的风格，反而许多小众品牌香味清新自然，不过兰蔻就这种香味没办法，只能说她家的调香师重口味，因为做了功课所以按压了再旋出来，没有损坏，很好，上嘴不像专柜那么丝滑，可能新口红有一层蜡的缘故，当然专柜的试用品已经被千万人的嘴上过，不顺滑才怪，这话我怎么感觉怪怪的，颜色很显娇俏,使用心得：好喜欢，到处都断货，终于买到了,使用心得：第一次用兰蔻的唇膏，简直好用的不要不要的，很水润，颜色也美，准备再入手一支，活动时呐买的，超级划算,使用心得：唇膏变这样了，伤心！真是醉了,使用心得：买了兰蔻的口红，很滋润，味道也很好闻，送了眼精华和肌底液，比专柜买的划算多了,使用心得：超喜欢，味道很香，颜色超美,使用心得：很不错，送朋友，朋友用了说很好,使用心得：超赞，这个颜色很喜欢，黄皮，显白,使用心得：颜色好看，涂抹起来像奶油质感，遮盖力够，就是壳子挺轻的，质感有点欠缺,使用心得：还没用，不过感觉很不错，打开是我喜欢的颜色！

使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：还行，色彩饱和度很高,使用心得：女朋友很喜欢?,使用心得：买给老婆的，她很喜欢，涂上之后漂亮多了，好诱人,使用心得：女朋友挺喜欢的，就买了，生活总是要有点小惊喜,使用心得：女朋友喜欢 她喜欢我就喜欢,使用心得：东西很不错，老婆很喜欢。,使用心得：还可以，好好的。,使用心得：颜色非常漂亮！大爱
使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！,使用心得：是正品，找人鉴定过了，不过看贴的标签。。。难道是专柜货。。。不过条码扫不到，应该没问题


